unix,open,high,low,close
1640306100,50890.82,50890.82,50852.07,50854.14
1640306040,50894.65,50895.03,50872.54,50891.33
1640305980,50890.47,50890.47,50890.46,50890.47
1640305920,50885.51,50890.6,50884.58,50884.58
1640305860,50829.29,50872.82,50829.29,50872.82
1640305800,50834.74,50834.74,50834.74,50834.74
1640305740,50828.61,50834.74,50828.42,50828.42
1640305680,50821.97,50822.06,50813.29,50822.06
1640305620,50779.45,50809.37,50779.45,50809.37
1640305560,50801.06,50811.63,50795.92,50795.92
1640305500,50801.06,50801.06,50771.59,50801.06
1640305440,50794.53,50823.04,50789.56,50801.94
1640305380,50803.27,50803.27,50794.57,50794.57
1640305320,50823.21,50823.21,50812.33,50822.55
1640305260,50829.2,50829.29,50796.67,50823.28
1640305200,50806.31,50829.23,50806.31,50829.23
1640305140,50734.96,50805.65,50734.96,50805.65
1640305080,50702.98,50735.69,50702.98,50735.69
1640305020,50719.6,50719.6,50664.97,50693.1
1640304960,50677.38,50719.6,50666.63,50694.27
1640304900,50719.58,50719.58,50660.83,50682.49
1640304840,50712.52,50724.82,50712.52,50724.82
1640304780,50705.82,50724.79,50705.82,50717.53
1640304720,50728.97,50739.11,50728.97,50739.11
1640304660,50743.93,50743.93,50732.6,50734.56
1640304600,50752.68,50770.14,50722.1,50722.1
1640304540,50773.8,50790.73,50737.71,50771.68
1640304480,50795.18,50795.18,50758.8,50792.94
1640304420,50797.11,50813.41,50797.11,50813.41
1640304360,50866.51,50882.81,50851.51,50851.51
1640304300,50826.08,50895.05,50826.08,50849.95
1640304240,50860.71,50860.71,50813.23,50816.1
1640304180,50884.49,50884.49,50884.49,50884.49
1640304120,50883.83,50883.83,50829.68,50847.51
1640304060,50876.15,50907.76,50858.94,50888.23
1640304000,50850,50876.71,50826.55,50856.22
1640303940,50801.69,50850,50801.69,50850
1640303880,50797.82,50797.82,50768.91,50788.92
1640303820,50784.02,50805.19,50770.95,50805.19
1640303760,50800.5,50800.5,50781.65,50781.65
1640303700,50788.6,50821.76,50788.6,50821.76
